"","Бренд","Вид","Гарантия","Звуковой сигнал при закипании","Индикация включения","Кнопка открывания крышки","Корзина для заварки чая","Максимальная потребляемая мощность (Вт)","Максимальный объем (л)","Масса (кг)","Материал корпуса","Нагревательный элемент","Подсветка корпуса","Состав набора","Страна производства","Тип управления","Уникальное описание","Фильтр","Цвет","Цена, (р)"
"Bosch TWK1201N","Bosch",NA,NA,"нет","есть",NA,"нет","1800","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2480"
"Bosch TWK6001","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2130"
"Bosch TWK6002","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","синий","2130"
"Bosch TWK6003","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","2130"
"Bosch TWK6004","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","красный","2130"
"Bosch TWK6005","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","серый","2130"
"Bosch TWK6006","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","желтый","2130"
"Bosch TWK6007","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","кофейный","2130"
"Bosch TWK6008","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","бордовый","2130"
"Bosch TWK6801","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический",NA,"есть","стальной","3080"
"Bosch TWK7704","Bosch",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","есть",NA,NA,"механический",NA,"есть","красный","2360"
"Bosch TWK7706","Bosch",NA,NA,"нет","есть",NA,"нет","2200","1,7",NA,"пластик","скрытый","есть",NA,NA,"механический",NA,"есть","серый","2430"
"Philips HD9302","Philips",NA,NA,"нет","есть",NA,"нет","2200","1,5",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический","Новая модель","есть","серебристый","2030"
"Philips HD9306","Philips",NA,NA,"нет","есть",NA,"нет","1800","1,6",NA,"Нержавеющая сталь","скрытый","нет",NA,NA,"механический","Новая модель","есть","серебристый металлик","1970"
"Philips HD4646","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1720"
"Philips HD4646/20","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1720"
"Philips HD4646/40","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1720"
"Philips HD4646/70","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,5",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","1720"
"Philips HD4677/40","Philips",NA,"2 года","есть","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","есть",NA,"Германия","механический",NA,"есть","белый","2980"
"Philips HD4678/55","Philips",NA,NA,"нет","есть",NA,"нет","2400","1,2",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2930"
"Philips HD4678/40","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,2",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","белый","2930"
"Philips HD9342","Philips",NA,NA,"нет","есть",NA,"нет","2200","1,5",NA,"стекло, металл","скрытый","нет",NA,NA,"механический",NA,"есть","черный","3780"
"Bosch TWK3A013","Bosch",NA,NA,"нет","есть",NA,"нет","2400","1,7",NA,"пластик","скрытый","нет",NA,NA,"механический",NA,"есть","черный","1890"
"Philips HD4665/30","Philips",NA,"2 года","нет","есть",NA,"нет","2400","1,7",NA,"металл","скрытый","нет",NA,NA,"механический",NA,"есть","зеленый","3380"
