"","Бренд","Гарантия","Емкость для воды (л)","Масса","Масса (кг)","Многофункциональный фильтр","новинка","Потребяемая мощность (Вт)","Размеры","Размеры (мм)","Размеры (см)","Размеры(мм)","Размеры(ШхВхГ)","Размеры(ШхВхГ) (мм)","Расход воды","Расход воды ( мл/ч)","Расход воды (мл/ч)","Расход воды (мл/ч).","Рекомендуемая площадь","Рекомендуемая площадь (кв. м)","Страна производства","Тип (Увлажнители)","Тип используемых ламп","Тип светильника","Уникальное описание","Управление","Фильтр AC","Фильтр HEPA","хит продаж","Цвет","Цена, (р)"
"Polaris PUH 4205","Polaris",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Новая модель",NA,NA,NA,NA,NA,"4070"
"Boneco Air-O-Swiss U650 black","Boneco","1 год","5,5",NA,"3,5",NA,NA,"40",NA,NA,NA,NA,NA,NA,"550 мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Да","электронное",NA,NA,NA,NA,"15570"
"Boneco Air-O-Swiss U7146 purple","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Polaris PUH 3102 apple","Polaris",NA,"0,2",NA,"-",NA,NA,"2",NA,"100х100х100",NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750"
"Polaris PUH2204 blue","Polaris",NA,"3,5","0,9 кг",NA,NA,NA,"25","295х200х150 мм",NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1920"
"Polaris PUH2204 white","Polaris",NA,"3,5",NA,"0,9",NA,NA,"25","295х200х150 мм",NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1920"
"Boneco Air-O-Swiss U7146 apple green","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3690"
"Boneco Air-O-Swiss U7146 black","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Boneco Air-O-Swiss U7146 white","Boneco","1 год","0,5","0,3 кг",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"100мл/ч",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590"
"Ballu UHB-255 Hello Kitty E","Ballu","1 год","1,7",NA,"1,6",NA,NA,"20",NA,NA,NA,NA,NA,"240х320х210",NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5100"
