"","Бренд","Вид","Гарантия","Масса устройства, (кг)","Потребляемая мощность","Страна производства","Тип элемента питания","Уникальное описание","Цвет корпуса","Цена, (р)"
"Oral-B Professional Care 500 D16","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"3290"
"Philips HX6731","Philips","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"5970"
"Philips HX8002","Philips","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"470"
"Oral-B Precision Clean EB20-2","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"880"
"Oral-B Precision Clean EB20-3","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"1280"
"Oral-B Stages Power EB10K","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"730"
"Oral-B EB17-2","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"890"
"Oral-B EB18-2","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"670"
"Oral-B Black Pro 7000 D36.555.6X black","Oral-B","зубная щетка",NA,NA,NA,NA,NA,"Новая модель",NA,"12650"
"Oral-B EB30-2 TriZone","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"980"
"Oral-B EB30-4 TriZone","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"1370"
"Oral-B IP17 Ortho","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"1280"
"Oral-B ED17","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"1670"
"Oral-B Professional Care Oxyjet MD20","Oral-B","ирригатор","2 года",NA,NA,NA,NA,NA,NA,"11850"
"Oral-B Profeccional Care Oxyjet+3000 OC20.535.3X","Oral-B","зубной центр","2 года",NA,NA,"Германия",NA,NA,NA,"14970"
"Oral-B TriZone 3000","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"7850"
"Oral-B Advance Power Kids 950TX D10.513K Mickey","Oral-B","зубная щетка детская","2 года",NA,NA,NA,NA,NA,NA,"2790"
"Oral-B Vitality Precision Clean D12.513","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"1790"
"Oral-B Vitality Sensitive Clean D12.513S","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"1980"
"Oral-B Vitality 3D White Luxe D12.513W","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"1980"
"Oral-B TriZone 700 D16.513.U black","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"3390"
"Oral-B TriZone 700 D16.513.U pink","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"2870"
"Oral-B Professional Care 1000 D20.513.1 black","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"5430"
"Oral-B TriZone 1000","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"5930"
"Oral-B Stages Power DB4.510K красная","Oral-B","зубная щетка детская","2 года",NA,NA,NA,NA,NA,NA,"1590"
"Oral-B Professional Care Triumph 5000 D34.545.5X","Oral-B","зубная щетка",NA,NA,NA,NA,NA,NA,NA,"12640"
"Oral-B Stages Power DB4.510K розовая","Oral-B","зубная щетка детская","2 года",NA,NA,NA,NA,NA,NA,"1480"
"Oral-B Professional Care 3000","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"8750"
"Oral-B Professional Care 1000","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"5630"
"Oral-B TriZone 1000 Black Edition","Oral-B","зубная щетка","2 года",NA,NA,NA,NA,NA,NA,"5070"
"Oral-B PRO 750 Cross Action black D16.513.UX","Oral-B","зубная щетка","2 года",NA,NA,"Германия",NA,"Новая модель",NA,"3970"
"Oral-B Vitality Cross Action D12.523","Oral-B","зубная щетка","2 года",NA,NA,"Германия",NA,"Новая модель",NA,"2990"
"Oral-B PRO 750 Cross Action pink D16.513.UX","Oral-B","зубная щетка","2 года",NA,NA,"Германия",NA,"Новая модель",NA,"3590"
"Oral-B EB50-2","Oral-B","насадки для зубных щеток",NA,NA,NA,NA,NA,NA,NA,"1050"
